序号,产品名称,标题后缀,规格数组,规格单位,进货价,实拍图数组,视频文件名,到货状态(能上或者不能上)
1,卫生间收纳柜,A026,"[""3"", ""4"", ""5""]",层,,["A026.png"],A026_video.mp4,1
2,带轮子的滚动洗衣篮,A045/A046,"[""中号"", ""大号""]",规格,大35小32,[],A045/A046_video.mp4,1
3,三层晾衣架(单管）,A057型号,"[""蓝"", ""粉"", ""灰"", ""黑""]",颜色/款式,39,"[""ID_E5D3DE6C422349E1AE6E59CD4DBE02E0.jpg"", ""ID_D003491621554ECDA187CA0BE682CB49.jpg""]",A057型号_video.mp4,1
4,马桶刷 黑色,A061型号 B022,"[""有托盘带侧杆"", ""有托盘不带侧杆"", ""无托盘带侧杆"", ""全包托盘带侧杆""]",规格,50,[],A061型号 B022_video.mp4,1
5,15cm（大号）方形猫砂盆,A055,"[""15"", ""17.5""]",cm,中号70,[],A055_video.mp4,1
6,注水式提壶哑铃,A064,"[""粉"", ""蓝"", ""玫红""]",颜色/款式,30,[],A064_video.mp4,1
7,太空人垃圾桶,A065,"[""站姿黑色"", ""红色"", ""奶白色""]",颜色/款式,36,[],A065_video.mp4,1
8,车载储物箱,A066,["凳子款全黑"],颜色/款式,93,[],A066_video.mp4,1
9,车载储水箱,A067,"[""白色"", ""绿色"", ""黑色""]",颜色/款式,72,[],A067_video.mp4,0
10,户外便携式帐篷,A068,"[""流沙金两门两窗版中号"", ""流沙金两门两窗版大号带防潮垫""]",颜色/款式,86,[],A068_video.mp4,1
11,2件装木工支撑杆,A069,["2"],件,36,[],A069_video.mp4,1
12,空灵鼓,A070,"[""黑色"", ""绿色"", ""紫色""]",颜色/款式,55,[],A070_video.mp4,1
13,俯卧撑支撑器,A071,["黑色"],颜色/款式,19,[],A071_video.mp4,1
14,C型滚边储物桌,A072,"[""黑色"", ""胡桃色""]",颜色/款式,30,[],A072_video.mp4,1
15,圆形床头收纳柜,A073,"[""黄色"", ""白色"", ""粉色"", ""红色""]",颜色/款式,104,[],A073_video.mp4,1
16,战术汽车座椅收纳袋,A074,"[""军绿色"", ""黑色"", ""卡其色""]",颜色/款式,102,["ID_12C329F0EDF14840830C168EA3284F51.jpg"],A074_video.mp4,1
17,超大彩色垃圾桶,A075,"[""黑色"", ""红色"", ""奶油色""]",颜色/款式,80,[],A075_video.mp4,1
18,瑜伽踏板,A076,"[""红"", ""黄"", ""蓝"", ""灰""]",颜色/款式,30,[],A076_video.mp4,1
19,午休折叠床,A077,"[""灰色"", ""加固八角款66*190""]",颜色/款式,59,[],A077_video.mp4,1
20,双门浴室置物柜,A078,"[""白色"", ""拳击球""]",颜色/款式,24,[],A078_video.mp4,1
21,2件装木工支撑杆,A080,"[""木工钳子"", ""重型自动收缩带"", ""圣诞树""]",规格,,[],A080_video.mp4,1
22,6层金属塑料储物柜带防尘罩,A083,"[""黑"", ""白色""]",颜色/款式,,[],A083_video.mp4,1
23,厨房碗碟架,A084,["黑色双层全套"],颜色/款式,22,[],A084_video.mp4,1
24,厨房碗碟架,A085,["黑色三层全套"],颜色/款式,29,[],A085_video.mp4,0
25,车后备箱收纳盒不带木板,A086,["黑色"],颜色/款式,36,[],A086_video.mp4,0
26,宠物楼梯,A087,["三步灰色"],颜色/款式,34,[],A087_video.mp4,0
27,20套塑料花园边栏,A088,["20"],pc,30,[],A088_video.mp4,1
28,3层带轮洗衣篮,A089,["灰色"],颜色/款式,66,[],A089_video.mp4,1
29,全尺寸人体骨架,A090,["90"],cm,26,[],A090_video.mp4,1
30,旋转餐盘,A091,[],,85,[],A091_video.mp4,1
31,双层吸盘浴室架,A094,"[""白"", ""灰""]",颜色/款式,20,[],A094_video.mp4,1
32,落地旋转衣架,A095,["2"],层,一层17  二层22,[],A095_video.mp4,1
33,R形置物架,A096,"[""黑"", ""白""]",颜色/款式,10,[],A096_video.mp4,1
34,钓鱼盲盒,A097,"[""B款"", ""C款""]",规格,35,[],A097_video.mp4,1
35,无笑脸旋转椅子,A099,[],,,[],A099_video.mp4,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,"[""123"",""1""]",,,,,
